<oov> 1.0	oov
بیوپار 1.0	B A_Y O_O P A_A R
غذاؤں 1.0	G_G I_I1 Z A_A O_O_N
اصغر 1.0	A S G_G A R
چھانگا 1.0	T_S_H A_A N_G G A_A
محض 1.0	M A H Z
اجاڑ 1.0	U D_Z A_A R_R
متنازعہ 1.0	M U T_D A N A_A Z A A_A
انٹلیکچوئل 1.0	I N T L A_E1 K T_S1 U_U I L
چیمپئن 1.0	T_S1 A_E1 M P I A N
ہوسٹس 1.0	H O_O S T I S
غور 1.0	G_G O R
رکھنے 1.0	R A K_H N A_Y
مرغ 1.0	M U R G_G
بتاؤں 1.0	B A T_D A U_U_N
وفاق 1.0	V I F A_A Q
نیشن 1.0	N A_Y S_H A N
بھاشا 1.0	B_H A_A S_H A_A
شے 1.0	S_H A_Y
بیسویں 1.0	B I_I1 S V A_Y_N
ملحوظ 1.0	M A L H U_U Z
تامل 1.0	T_D A A M M U L
تبلیغ 1.0	T_D A B L I_I1 G_G
عدالت 1.0	A D_D A_A L A T_D
داغنے 1.0	D_D A_A G_G N A_Y
ضلع 1.0	Z I L A_A
جھیل 1.0	D_Z_H A_Y L
استحقاق 1.0	I S T_D I H Q A_A Q
ویجی 1.0	V A_E1 D_Z I_I1
ٹشو 1.0	T I S_H U_U
سرزمین 1.0	S A R Z A M I_I1 N
کھوسٹ 1.0	K_H U_U S A T
کھسک 1.0	K_H I S A K
پاکیزگی 1.0	P A_A K I_I1 Z G I_I1
باندھ 1.0	B A_A N D_D_H
سرفراز 1.0	S A R F A R A_A Z
گزری 1.0	G U Z R I_I1
ٹیچر 1.0	T I_I1 T_S1 A R
مجھے 1.0	M U D_Z_H A_Y
یونیورسٹی 1.0	J U_U N I_I1 V A R S I T I_I1
ایشو 1.0	I_I1 S_H U_U
کتھا 1.0	K A T_D_H A_A
جستجو 1.0	D_Z U S T_D U D_Z U_U
بیدار 1.0	B A_Y D_D A_A R
اثر 1.0	A S A R
چبا 1.0	T_S1 A B A_A
کوئلے 1.0	K O_O I L A_Y
صغیر 1.0	S A G_G I_I1 R
خلیل 1.0	X A L I_I1 L
ہمارا 1.0	H A M A_A R A_A
طنزومزاح 1.0	T_D A N Z O_O M I Z A_A
امیدوار 1.0	U M I_I1 D_D V A_A R
دوربین 1.0	D_D U_U R B I_I1 N
رحیم 1.0	R A H I_I1 M
ویسٹ 1.0	V A_E1 S T
دسویں 1.0	D_D A S V A_Y_N
راٹھور 1.0	R A_A T_H O_O R
بھولنا 1.0	B_H U_U L N A_A
بانو 1.0	B A_A N O_O
نظروں 1.0	N A Z R O_O_N
اندھیرے 1.0	A N D_D_H A_Y R A_Y
پولیس 1.0	P O_O L I_I1 S
تھری 1.0	T_D_H I R I_I1
قدریں 1.0	Q A D_D R A_Y_N
کھچ 1.0	K_H A T_S1
موہن 1.0	M O_O H A N
پہلے 1.0	P A_E_H H L A_Y
عدل 1.0	A D_D L
ٹیلیویژن 1.0	T A_E1 L I_I1 V I_I1 Z_Z A N
معاوضہ 1.0	M U A_A V I Z A_A
صبوحی 1.0	S A B U_U H I_I1
دراوڑی 1.0	D_D A R A_A V I R_R I_I1
مجرم 1.0	M U D_Z R I M
مجموعے 1.0	M A D_Z M U_U A_Y
دہرایا 1.0	D_D O_O_H H R A_A J A_A
اگائے 1.0	U G A_A A_Y
موعود 1.0	M O U_U D_D
رچاؤ 1.0	R A T_S1 A_A O_O
لفظی 1.0	L A F Z I_I1
سرخی 1.0	S U R X I_I1
تحفوں 1.0	T_D O_O_H H F O_O_N
مدعیان 1.0	M U D_D D_D A I J A_A N
کبڈی 1.0	K A B A D D I_I1
چمچ 1.0	T_S1 A M M A T_S1
داغ 1.0	D_D A_A G_G
سندھی 1.0	S I N D_D_H I_I1
سوبرز 1.0	S O_O B A R Z
درسگاہوں 1.0	D_D A R A S G A_A H O_O_N
روزگار 1.0	R O_O Z G A_A R
ممکن 1.0	M U M K I N
ملازمین 1.0	M U L A_A Z I M I_I1 N
مارشل 1.0	M A_A R S_H A L
رہنما 1.0	R A H N U M A_A
سوئس 1.0	S O_O I S
ہمیشہ 1.0	H A M A_Y S_H A_A
ڈیویلپر 1.0	D I_I1 V A_E1 L A P A R
مواصلاتی 1.0	M A V A_A S L A_A T_D I_I1
خزانہ 1.0	X A Z A_A N A_A
بجز 1.0	B A D_Z U Z
رباب 1.0	R U B A_A B
خاصی 1.0	X A_A S I_I1
سبزی 1.0	S A B Z I_I1
ساری 1.0	S A_A R I_I1
پہاڑوں 1.0	P A H A_A R_R O_O_N
اوہام 1.0	O H A_A M
ہسپانوی 1.0	H A S P A_A N I V I_I1
مائنڈڈ 1.0	M A_A I N D A D
انضباطی 1.0	I N Z A_Y B A_A T_D I_I1
منجھے 1.0	M A N D_Z_H A_Y
وڑائچ 1.0	V A R_R A_A I T_S1
مقید 1.0	M U Q A J J A D_D
تحصیل 1.0	T_D A H S I_I1 L
گلہری 1.0	G U L A_E_H H R I_I1
چائے 1.0	T_S1 A_A A_Y
رکھیو 1.0	R A K K_H I J O
حامل 1.0	H A_A M I L
سی 1.0	S I_I1
اب 1.0	A B
ہموار 1.0	H A M V A_A R
پوچھ 1.0	P U_U T_S_H
طبعی 1.0	T_D A B A I_I1
چورنگی 1.0	T_S1 O R A N_G G I_I1
کڑوی 1.0	K A R_R V I_I1
دعائیہ 1.0	D_D U A_A I_I1 J A_A
ازسرنو 1.0	A Z S A R A_Y N O
فورسڈ 1.0	F O_O R S D
مٹھن 1.0	M I T_H A N
سے 1.0	S A_Y
بھائیوں 1.0	B_H A_A I J O_O_N
قے 1.0	Q A_E1
شامل 1.0	S_H A_A M I L
دیکھیے 1.0	D_D A_Y K_H I_I1 A_Y
کلراٹھی 1.0	K A L R A_A T_H I_I1
متوفی 1.0	M U T_D A V A F F I_I1
نتیجے 1.0	N A T_D I_I1 D_Z A_Y
جیگوار 1.0	D_Z A_E1 G U_U A R
ہزار 1.0	H A Z A_A R
چھوئیں 1.0	T_S_H U_U A_Y_N
چڑچڑے 1.0	T_S1 I R_R T_S1 I R_R A_Y
مین 1.0	M A_Y N
اونے 1.0	O N A_Y
دبوچ 1.0	D_D A B O_O T_S1
بغدادی 1.0	B A G_G D_D A_A D_D I_I1
امیگریشن 1.0	I M I_I1 G I R A_Y S_H A N
ڈھینچوں 1.0	D_H A_E_N T_S1 U_U_N
قزلباش 1.0	Q I Z I L B A_A S_H
سبھا 1.0	S A B_H A_A
پیچھے 1.0	P I_I1 T_S_H A_Y
کوڑھ 1.0	K O_O R_R_H
صوفی 1.0	S O_O F I_I1
آمدنی 1.0	A_A M D_D A N I_I1
اکھاڑ 1.0	U K_H A_A R_R
تھوڑے 1.0	T_D_H O_O R_R A_Y
قل 1.0	Q U L
نحوست 1.0	N U H U_U S A T_D
لیتا 1.0	L A_Y T_D A_A
پنکھڑی 1.0	P A N K_H R_R I_I1
گردوغبار 1.0	G A R D_D O_O G_G U B A_A R
بکھری 1.0	B I K_H R I_I1
مکھیوں 1.0	M A K K_H I_I1 O_O_N
سدباب 1.0	S A D_D D_D A_Y B A_A B
کلثوم 1.0	K U L S U_U M
بوبی 1.0	B O B I_I1
بخشے 1.0	B A X S_H A_Y
قدسیہ 1.0	Q U D_D S I J A_A
نسخے 1.0	N U S X A_Y
منگوا 1.0	M A N_G V A_A
ایجنسیز 1.0	A_E1 D_Z I N S I_I1 Z
راہداری 1.0	R A_A H D_D A_A R I_I1
پیغام 1.0	P A_E1 G_G A_A M
جہاد 1.0	D_Z I H A_A D_D
توجیہ 1.0	T_D O D_Z I_I1
ہائے 1.0	H A_A A_Y
جیسا 1.0	D_Z A_E1 S A_A
نسخوں 1.0	N U S X O_O_N
غول 1.0	G_G O L
عضلات 1.0	U Z L A_A T_D
سزائیں 1.0	S A Z A_A A_Y_N
نامزد 1.0	N A_A M Z A D_D
تھڑے 1.0	T_D_H A R_R A_Y
دیول 1.0	D_D A_Y O_O L
ویلیو 1.0	V A_E1 L J U_U
شاہراہ 1.0	S_H A_A H R A_A
زیرآب 1.0	Z A_Y R A_Y A_A B
لیزنگ 1.0	L I_I1 Z I N_G
فاؤنٹین 1.0	F A U_U N T A_Y N
رگ 1.0	R A G
بھیجے 1.0	B_H A_Y D_Z A_Y
کروموسوم 1.0	K O_O R O_O M O_O S O_O M
داڑھی 1.0	D_D A_A R_R_H I_I1
گڑھوں 1.0	G A R_R_H O_O_N
جدون 1.0	D_Z A D_D U_U N
میلہ 1.0	M A_Y L A H
بیشتر 1.0	B A_Y S_H T_D A R
بولو 1.0	B O_O L O_O
اوئے 1.0	O_O A_Y
باشندوں 1.0	B A_A S_H I N D_D O_O_N
حافظے 1.0	H A_A F Z A_Y
سٹوڈیوز 1.0	S A T U_U D I_I1 J O_O Z
کینولا 1.0	K A_E1 N O_O L A_A
پٹھو 1.0	P I T_H T_H U_U
ہوشمندی 1.0	H O_O S_H M A N D_D I_I1
آرکائیوز 1.0	A_A R K A_A I_I1 V Z
صاف 1.0	S A_A F
کنگھی 1.0	K A N G_H I_I1
مقوی 1.0	M A Q O V V I_I1
رفتار 1.0	R A F T_D A_A R
تھائی 1.0	T_D_H A_A I_I1
زیڈ 1.0	Z A_E1 D
گدھ 1.0	G I D_D_H
ہنوز 1.0	H U N U_U Z
ریگولر 1.0	R A_E1 G U_U L A R
سنبھال 1.0	S A M B_H A_A L
پڑھو 1.0	P A R_R_H O_O
خوفزدہ 1.0	X O F Z A D_D A_A
سکورز 1.0	S A K O_O R Z
مزیدار 1.0	M A Z A_Y D_D A_A R
مفہوم 1.0	M A F H U_U M
حسین 1.0	H A S I_I1 N
ڈینٹل 1.0	D A_E1 N T A L
زیبرا 1.0	Z A_E1 B R A_A
چھوڑ 1.0	T_S_H O_O R_R
لانگ 1.0	L A_A N_G
بااثر 1.0	B A_A A S A R
آٹھویں 1.0	A_A T_H V A_Y_N
لالچی 1.0	L A_A L T_S1 I_I1
کوششوں 1.0	K O_O S_H I S_H O_O_N
فروخت 1.0	F A R O_O X T_D
خفگی 1.0	X A F A G I_I1
مزارعوں 1.0	M U Z A_A R A_Y O_O_N
پڑدادا 1.0	P A R_R D_D A_A D_D A_A
تبدیلیوں 1.0	T_D A B D_D I_I1 L I_I1 O_O_N
پیشقدمی 1.0	P A_Y S_H Q A D_D M I_I1
تاثر 1.0	T_D A A S S U R
رفیق 1.0	R A F I_I1 Q
ادھم 1.0	U D_D_H A M
اعتبار 1.0	A_Y T_D I B A_A R
بجاآوری 1.0	B A D_Z A_A A_A V R I_I1
زیادہ 1.0	Z I J A_A D_D A_A
بھی 1.0	B_H I_I1
ذخائر 1.0	Z A X A_A I R
براعظم 1.0	B A R R A_Y A_A Z A M
شور 1.0	S_H O_O R
پیٹھ 1.0	P A_E1 T_H
پنشنر 1.0	P A N S_H N A R
عرفان 1.0	I R F A_A N
تحفظ 1.0	T_D A H A F F U Z
کوریوگرافر 1.0	K O_O R I_I1 O_O G A R A_A F A R
میڈیا 1.0	M I_I1 D I J A_A
کنگھے 1.0	K A N G_H A_Y
اجڑی 1.0	U D_Z R_R I_I1
لینتھ 1.0	L A_E1 N T_D_H
لاؤ 1.0	L A_A O_O
سنگھاسن 1.0	S I N_G G_H A_A S A N
جھائیاں 1.0	D_Z_H A_A I J A_A_N
نوزائیدہ 1.0	N O Z A_A I_I1 D_D A_A
شگفتہ 1.0	S_H A G U F T_D A_A
چھڑنے 1.0	T_S_H I R_R N A_Y
پھڑپھڑائے 1.0	P_H A R_R P_H A R_R A_A A_Y
بدمزگی 1.0	B A D_D M A Z G I_I1
کروڑوں 1.0	K A R O_O R_R O_O_N
نجات 1.0	N A D_Z A_A T_D
نماز 1.0	N A M A_A Z
دیوبندی 1.0	D_D I_I1 O_O B A N D_D I_I1
بہتری 1.0	B A_Y_H H T_D A R I_I1
چھولے 1.0	T_S_H O_O L A_Y
نہر 1.0	N A_E_H H R
بکھیرنے 1.0	B A K_H A_Y R N A_Y
پیشوا 1.0	P A_Y S_H V A_A
ہونگی 1.0	H O_O N_G I_I1
سیکھ 1.0	S I_I1 K_H
لنگر 1.0	L A N_G G A R
لاڈلے 1.0	L A_A D L A_Y
جبڑوں 1.0	D_Z A B R_R O_O_N
جھجھک 1.0	D_Z I D_Z A K
ڈراؤنی 1.0	D A R A O_O N I_I1
لائے 1.0	L A_A A_Y
بڑھاپے 1.0	B U R_R_H A_A P A_Y
چراغ 1.0	T_S1 A R A_A G_G
غیرت 1.0	G_G A_E1 R A T_D
ویگن 1.0	V A_E1 G A N
تیار 1.0	T_D A J J A_A R
پھونک 1.0	P_H U_U_N K
مرغن 1.0	M U R A G_G G_G A N
مڈھوں 1.0	M U D_H D_H O_O_N
کروڈ 1.0	K U R U_U D
جھگڑالو 1.0	D_Z_H A G R_R A_A L U_U
درسگاہ 1.0	D_D A R S G A_A
آئیز 1.0	A_A I_I1 Z
گی 1.0	G I_I1
پائیریسی 1.0	P A_A I_I1 R A_Y S I_I1
خلل 1.0	X A L A L
فیم 1.0	F A_Y M
کھیلتے 1.0	K_H A_Y L T_D A_Y
طرزعمل 1.0	T_D A R Z A_Y A M A L
امجد 1.0	A M D_Z A D_D
گٹھلی 1.0	G U T_H L I_I1
ریحانہ 1.0	R A_E1 H A_A N A_A
بےعزتی 1.0	B A_Y I Z Z A T_D I_I1
پرنیا 1.0	P U R A N I J A_A
اثاثوں 1.0	A S A_A S O_O_N
اعدادوشمار 1.0	A D_D A_A D_D O_O S_H U M A_A R
بینچ 1.0	B A_E1 N T_S1
مغز 1.0	M A G_G Z
چچا 1.0	T_S1 A T_S1 A_A
وے 1.0	V A_Y
تدفین 1.0	T_D A D_D F I_I1 N
لبالب 1.0	L A B A_A L A B
کھوہ 1.0	K_H O_O
ترویج 1.0	T_D A R V I_I1 D_Z
سنگھار 1.0	S I N_G G_H A_A R
بولروں 1.0	B O_O L R O_O_N
خریدے 1.0	X A R I_I1 D_D A_Y
ایڑی 1.0	A_Y R_R I_I1
جوہری 1.0	D_Z O_O H R I_I1
بچیں 1.0	B A T_S1 A_Y_N
راستے 1.0	R A_A S T_D A_Y
کہ 1.0	K A_Y
ٹورنامنٹس 1.0	T O_O R N A_A M I N T S
یلغار 1.0	J A L G_G A_A R
لونگ 1.0	L O N_G
میدان 1.0	M A_E1 D_D A_A N
جسٹس 1.0	D_Z A S T I S
ماتھے 1.0	M A_A T_D_H A_Y
نوآبادیاتی 1.0	N O A_A B A_A D_D I J A_A T_D I_I1
اور 1.0	O R
مسخر 1.0	M U S A X X A R
جرنیل 1.0	D_Z A R N A_E1 L
چہلم 1.0	T_S1 A_Y_H H L A M
بھولو 1.0	B_H U_U L O_O
ندا 1.0	N I D_D A_A
با 1.0	B A_A
بلور 1.0	B I L U_U R
فولاد 1.0	F O L A_A D_D
شوگر 1.0	S_H U_U G A R
بھیڑیا 1.0	B_H A_Y R_R I J A_A
بجٹ 1.0	B A D_Z A T
میراں 1.0	M I_I1 R A_A_N
مرچیں 1.0	M I R T_S1 A_Y_N
سوچیں 1.0	S O_O T_S1 A_Y_N
سرخیل 1.0	S A R X I_I1 L
دستاویزات 1.0	D_D A S T_D A_A V A_Y Z A_A T_D
چوزوں 1.0	T_S1 U_U Z O_O_N
مواد 1.0	M A V A_A D_D
پرجوش 1.0	P U R D_Z O_O S_H
طویل 1.0	T_D A V I_I1 L
تنگ 1.0	T_D A N_G
چھائی 1.0	T_S_H A_A I_I1
صحبت 1.0	S O_O_H H B A T_D
ہتھ 1.0	H A T_D_H
مزے 1.0	M A Z A_Y
شعاعوں 1.0	S_H U A_A O_O_N
جوس 1.0	D_Z U_U S
ڈھنگ 1.0	D_H A N_G
غیردانشمندانہ 1.0	G_G A_E1 R D_D A_A N I S_H M A N D_D A_A N A_A
سیاروں 1.0	S A_Y J J A_A R O_O_N
خوابیدہ 1.0	X A_A B I_I1 D_D A_A
پوچھے 1.0	P U_U T_S_H A_Y
اپروچ 1.0	A P R O_O T_S1
حضرات 1.0	H A Z R A_A T_D
موصول 1.0	M O S U_U L
سفیدے 1.0	S A F A_E1 D_D A_Y
پھلیاں 1.0	P_H A L J A_A_N
بھڑاس 1.0	B_H A R_R A_A S
انکشاف 1.0	I N K I S_H A_A F
رجسٹریشن 1.0	R A D_Z I S T A R A_Y S_H A N
معذوریوں 1.0	M A Z U_U R I_I1 O_O_N
کھدائی 1.0	K_H U D_D A_A I_I1
گینگسٹر 1.0	G A_E1 N_G S T A R
مژگاں 1.0	M I Z_Z G A_A_N
لکھو 1.0	L I K_H O_O
کھوکھلی 1.0	K_H O_O K_H L I_I1
ٹھنڈا 1.0	T_H A N D A_A
سیکھے 1.0	S I_I1 K_H A_Y
چھوا 1.0	T_S_H U V A_A
روزہ 1.0	R O_O Z A_A
لذت 1.0	L A Z Z A T_D
ابجد 1.0	A B D_Z A D_D
تولیدی 1.0	T_D O L I_I1 D_D I_I1
پھاہے 1.0	P_H A_A H A_Y
رفیعہ 1.0	R A F I_I1 A_A
مترجم 1.0	M U T_D A R A D_Z D_Z I M
فوسٹر 1.0	F O_O S T A R
دیگچی 1.0	D_D A_Y G T_S1 I_I1
بڑھاوا 1.0	B A R_R_H A_A V A_A
ہجری 1.0	H I D_Z R I_I1
بآسانی 1.0	B A A_A S A_A N I_I1
کاجو 1.0	K A_A D_Z U_U
تبسم 1.0	T_D A B A S S U M
مصنوعی 1.0	M A S N U_U Y I_I1
تحصیلدار 1.0	T_D A H S I_I1 L D_D A_A R
حیران 1.0	H A_E1 R A_A N
چیخیں 1.0	T_S1 I_I1 X A_Y_N
تاریخی 1.0	T_D A_A R I_I1 X I_I1
محبت 1.0	M A H A B B A T_D
مصروف 1.0	M A S R U_U F
آزادی 1.0	A_A Z A_A D_D I_I1
ناول 1.0	N A_A V I L
باوجود 1.0	B A_A V A D_Z U_U D_D
الزام 1.0	I L Z A_A M
پگھل 1.0	P I G_H A L
کبیر 1.0	K A B I_I1 R
گیدڑ 1.0	G I_I1 D_D A R_R
رساؤ 1.0	R A S A_A O_O
پڑھائی 1.0	P A R_R_H A_A I_I1
نوگو 1.0	N O_O G O_O
سویرے 1.0	S A V A_Y R A_Y
ہوے 1.0	H U_U A_Y
ٹیوشن 1.0	T I J U_U S_H A N
ہجویہ 1.0	H A D_Z V I J A_A
وزیرداخلہ 1.0	V A Z I_I1 R A_Y D_D A_A X I L A_A
جون 1.0	D_Z U_U N
جنریشن 1.0	D_Z A N R A_Y S_H A N
انجنیئر 1.0	I N D_Z I N I_I1 A R
منڈھے 1.0	M A N D_H A_Y
جیو 1.0	D_Z I_I1 O_O
بودلہ 1.0	B O_O D_D L A_A
عشرے 1.0	A S_H R A_Y
لوئر 1.0	L O_O A R
اتحاد 1.0	I T_D T_D I H A_A D_D
نافذالعمل 1.0	N A_A F I Z U L A M A L
بیلوں 1.0	B A_Y L O_O_N
زیرانتظام 1.0	Z A_Y R A_Y I N T_D I Z A_A M
بھرے 1.0	B_H A R A_Y
جایا 1.0	D_Z A_A J A_A
فلمساز 1.0	F I L M S A_A Z
چین 1.0	T_S1 A_E1 N
تشہیر 1.0	T_D A S_H H I_I1 R
سانولے 1.0	S A_A N V L A_Y
درخت 1.0	D_D A R A X T_D
غزلوں 1.0	G_G A Z L O_O_N
پرزور 1.0	P U R Z O_O R
جدید 1.0	D_Z A D_D I_I1 D_D
اڈوں 1.0	A D D O_O_N
بوائز 1.0	B U V A_A I Z
کارخانے 1.0	K A_A R X A_A N A_Y
پھوپھے 1.0	P_H U_U P_H A_Y
گھائل 1.0	G_H A_A I L
قیود 1.0	Q I J U_U D_D
دیے 1.0	D_D I_I1 A_Y
اگرچہ 1.0	A G A R T_S1 A_Y
شمشاد 1.0	S_H A M S_H A_A D_D
گڑگڑا 1.0	G I R_R G I R_R A_A
ٹیڑھا 1.0	T A_Y R_R_H A_A
چھید 1.0	T_S_H A_Y D_D
چھیڑنے 1.0	T_S_H A_Y R_R N A_Y
کیفر 1.0	K A_E1 F A R
چارجز 1.0	T_S1 A_A R D_Z I Z
طور 1.0	T_D O R
دیتا 1.0	D_D A_Y T_D A_A
شمار 1.0	S_H U M A_A R
آئین 1.0	A_A I_I1 N
فاسٹ 1.0	F A_A S T
جوئیہ 1.0	D_Z U_U I J A_A
پولیو 1.0	P O_O L I_I1 O_O
شوخ 1.0	S_H O_O X
مٹھل 1.0	M A T_H T_H A L
ٹیلنٹ 1.0	T A_E1 L A N T
متعارف 1.0	M U T_D A A_A R A F
بوڑھا 1.0	B U_U R_R_H A_A
زرمبادلہ 1.0	Z A R A_Y M U B A_A D_D A L A_A
پہنچایا 1.0	P O_O_H H N T_S1 A_A J A_A
اشخاص 1.0	A S_H X A_A S
مشائخ 1.0	M A S_H A_A I X
نگہت 1.0	N I G H A T_D
دلواؤں 1.0	D_D I L V A_A U_U_N
خوشیوں 1.0	X U S_H I_I1 O_O_N
سایہ 1.0	S A_A J A_A
شفقت 1.0	S_H A F Q A T_D
گرلز 1.0	G A R L Z
مغلوں 1.0	M U G_G L O_O_N
گینگز 1.0	G A_E1 N_G Z
جھولے 1.0	D_Z_H U_U L A_Y
پرہیز 1.0	P A R H A_Y Z
بغیر 1.0	B A G_G A_E1 R
چور 1.0	T_S1 O_O R
امرتسری 1.0	A M R A T_D S A R I_I1
پوچھیں 1.0	P U_U T_S_H A_Y_N
ملبوسات 1.0	M A L B U_U S A_A T_D
پلڑا 1.0	P A L R_R A_A
مشاعرہ 1.0	M U S_H A_A A R A_A
نچلے 1.0	N I T_S1 L A_Y
پگھلا 1.0	P I G_H L A_A
پونچھنے 1.0	P U_U N T_S_H N A_Y
گھریلو 1.0	G_H A R A_Y L U_U
محرر 1.0	M U H A R R I R
باریش 1.0	B A_A R I_I1 S_H
حضور 1.0	H U Z U_U R
حجت 1.0	H U D_Z D_Z A T_D
لگژری 1.0	L A G Z_Z A R I_I1
نشست 1.0	N A S_H I S T_D
میلسوی 1.0	M A_E1 L S V I_I1
اٹھائیس 1.0	A T T_H A_A I_I1 S
فیتھ 1.0	F A_Y T_D_H
زمینداروں 1.0	Z A M I_I_N D_D A_A R O_O_N
ایسڈ 1.0	A_Y S I D
رہزنی 1.0	R A H Z A N I_I1
بالکل 1.0	B I L K U L
کیس 1.0	K A_Y S
ٹرانزسٹر 1.0	T A R A_A N Z I S T A R
موڈم 1.0	M O D A M
کھوج 1.0	K_H O_O D_Z
حلف 1.0	H A L F
ہیلو 1.0	H A_Y L O_O
گفٹ 1.0	G I F T
گینز 1.0	G A_E1 N Z
گیا 1.0	G A_Y A_A
ماخذ 1.0	M A_A X A Z
تساہل 1.0	T_D A S A_A H U L
مشفق 1.0	M U S_H F I Q
جوڑے 1.0	D_Z O_O R_R A_Y
تنازع 1.0	T_D A N A_A Z O_O
باغوں 1.0	B A_A G_G O_O_N
بیلچے 1.0	B A_Y L T_S1 A_Y
ذیل 1.0	Z A_E1 L
اے 1.0	A_Y
چوسنے 1.0	T_S1 U_U S N A_Y
مرچنٹ 1.0	M A R T_S1 A N T
خاموشی 1.0	X A_A M O_O S_H I_I1
بونوں 1.0	B O N O_O_N
افورڈ 1.0	A F O_O R D
لیمپ 1.0	L A_E1 M P
فقرے 1.0	F I Q R A_Y
خبروں 1.0	X A B R O_O_N
شش 1.0	S_H A S_H
شوق 1.0	S_H O Q
جڑواں 1.0	D_Z U R_R V A_A_N
پھلکی 1.0	P_H U L K I_I1
تمناؤں 1.0	T_D A M A N N A_A O_O_N
عیاں 1.0	A J A_A_N
پارلیمانی 1.0	P A_A R L I_I1 M A_A N I_I1
مزدوروں 1.0	M A Z D_D U_U R O_O_N
بزرگ 1.0	B U Z U R G
رسولی 1.0	R A S O_O L I_I1
راہبر 1.0	R A_A H B A R
گاؤن 1.0	G A_A U_U N
زیور 1.0	Z A_Y V A R
چلنے 1.0	T_S1 A L N A_Y
وقائع 1.0	V A Q A_A A_Y
برعکس 1.0	B A R A K S
کرفیو 1.0	K A R F I J U_U
اچھائی 1.0	A T_S1 T_S_H A_A I_I1
جج 1.0	D_Z A D_Z
مزاج 1.0	M I Z A_A D_Z
وجدان 1.0	V I D_Z D_D A_A N
جزو 1.0	D_Z U Z V
اظہار 1.0	I Z H A_A R
قاضی 1.0	Q A_A Z I_I1
جوکھوں 1.0	D_Z O_O K_H O_O_N
میراتھن 1.0	M A_E1 R A_A T_D_H I N
ناقص 1.0	N A_A Q I S
پنگھوڑے 1.0	P I N G_H U_U R_R A_Y
تمہارے 1.0	T_D U M H A_A R A_Y
ممد 1.0	M U M I D_D
صداقت 1.0	S A D_D A_A Q A T_D
زدہ 1.0	Z A D_D A_A
تنقیص 1.0	T_D A N Q I_I1 S
رہتے 1.0	R A H T_D A_Y
ابھری 1.0	U B_H R I_I1
بھری 1.0	B_H A R I_I1
میڈیکل 1.0	M A_E1 D I_I1 K A L
انسولین 1.0	I N S O_O L I_I1 N
برخلاف 1.0	B A R X I L A_A F
مخدوم 1.0	M A X D_D U_U M
لیے 1.0	L I_I1 A_Y
ڈرامہ 1.0	D A R A_A M A_A
سپننگ 1.0	S I P I N N_G
ثاقب 1.0	S A_A Q I B
کھولنے 1.0	K_H O_O L N A_Y
حفاظت 1.0	H I F A_A Z A T_D
محترمہ 1.0	M O_O_H H T_D A R M A_A
سونگ 1.0	S O_O N_G
بلگرامی 1.0	B I L G I R A_A M I_I1
مقصود 1.0	M A Q S U_U D_D
زائد 1.0	Z A_A I D_D
بڑا 1.0	B A R_R A_A
عزیز 1.0	A Z I_I1 Z
ردعمل 1.0	R A D_D D_D A_Y A M A L
ریسلینگ 1.0	R A_E1 S L I N_G
فیڈریشنز 1.0	F A_Y D R A_Y S_H A N Z
ڈیفنس 1.0	D I_I1 F A N S
خوبصورت 1.0	X U_U B S U_U R A T_D
چلچلاتی 1.0	T_S1 I L T_S1 I L A_A T_D I_I1
ضیغم 1.0	Z A_E1 G_G A M
ورزش 1.0	V A R Z I S_H
جھونکوں 1.0	D_Z_H O_O_N K O_O_N
گھاگرا 1.0	G_H A_A G R A_A
ہتھوڑے 1.0	H A T_D_H O_O R_R A_Y
حزب 1.0	H I Z B
پرچہ 1.0	P A R T_S1 A_A
چیزیں 1.0	T_S1 I_I1 Z A_Y_N
لعاب 1.0	L U A_A B
لخت 1.0	L A X T_D
بلڈوز 1.0	B U L D O_O Z
پاٹھک 1.0	P A_A T_H A K
چیچن 1.0	T_S1 A_E1 T_S1 A N
ٹھاکر 1.0	T_H A_A K U R
ڈھابے 1.0	D_H A_A B A_Y
اعتراف 1.0	A_Y T_D I R A_A F
تیرے 1.0	T_D A_Y R A_Y
ابتدائی 1.0	I B T_D I D_D A_A I_I1
مماثل 1.0	M U M A_A S I L
مدفن 1.0	M A D_D F A N
دھری 1.0	D_D_H O_O R I_I1
شوکت 1.0	S_H O K A T_D
عجیب 1.0	A D_Z I_I1 B
زیراستعمال 1.0	Z A_Y R A_Y I S T_D I M A_A L
کمروں 1.0	K A M R O_O_N
مناسب 1.0	M U N A_A S I B
آفس 1.0	A_A F I S
انقلاب 1.0	I N Q I L A_A B
چیلنجز 1.0	T_S1 A_E1 L A N D_Z I Z
ریسکیو 1.0	R A_E1 S K I J U_U
صفائی 1.0	S A F A_A I_I1
ہومیوپیتھی 1.0	H O_O M I_I1 O_O P A_E1 T_D_H I_I1
نرخنامے 1.0	N I R X N A_A M A_Y
واچ 1.0	V A_A T_S1
شریف 1.0	S_H A R I_I1 F
واگذار 1.0	V A_A G U_U Z A_A R
وڈیروں 1.0	V A D A_Y R O_O_N
شناسی 1.0	S_H I N A_A S I_I1
گز 1.0	G A Z
فیصلہ 1.0	F A_E1 S L A_A
اجڑے 1.0	U D_Z R_R A_Y
وقوف 1.0	V U Q U_U F
نحیف 1.0	N A H I_I1 F
